,image_pair_1,image_pair_2,cosine_similarity,numerosity,area_bin
0,stimulus_143.png,stimulus_152.png,0.94953555,1.0,0.0
1,stimulus_143.png,stimulus_194.png,0.96271217,1.0,0.0
2,stimulus_152.png,stimulus_194.png,0.89367175,1.0,0.0
3,stimulus_332.png,stimulus_341.png,0.94958353,1.0,1.0
4,stimulus_332.png,stimulus_392.png,0.95620036,1.0,1.0
5,stimulus_341.png,stimulus_392.png,0.9802831,1.0,1.0
6,stimulus_431.png,stimulus_491.png,0.96829975,1.0,2.0
7,stimulus_431.png,stimulus_551.png,0.9569244,1.0,2.0
8,stimulus_491.png,stimulus_551.png,0.9742107,1.0,2.0
9,stimulus_652.png,stimulus_673.png,0.9759375,1.0,3.0
10,stimulus_652.png,stimulus_764.png,0.9759375,1.0,3.0
11,stimulus_673.png,stimulus_764.png,1.0,1.0,3.0
12,stimulus_893.png,stimulus_908.png,0.9745647,1.0,4.0
13,stimulus_893.png,stimulus_998.png,0.96282214,1.0,4.0
14,stimulus_908.png,stimulus_998.png,0.96658844,1.0,4.0
15,stimulus_971.png,stimulus_988.png,0.907396,1.0,5.0
16,stimulus_971.png,stimulus_1060.png,0.8991029,1.0,5.0
17,stimulus_988.png,stimulus_1060.png,0.98227954,1.0,5.0
18,stimulus_1116.png,stimulus_1129.png,0.94796914,1.0,6.0
19,stimulus_1116.png,stimulus_1148.png,0.974463,1.0,6.0
20,stimulus_1129.png,stimulus_1148.png,0.97988415,1.0,6.0
21,stimulus_1200.png,stimulus_1234.png,0.98349917,1.0,7.0
22,stimulus_1200.png,stimulus_1417.png,0.9711837,1.0,7.0
23,stimulus_1234.png,stimulus_1417.png,0.9617543,1.0,7.0
24,stimulus_1501.png,stimulus_1556.png,0.9663382,1.0,8.0
25,stimulus_1501.png,stimulus_1566.png,0.9506303,1.0,8.0
26,stimulus_1556.png,stimulus_1566.png,0.96503687,1.0,8.0
27,stimulus_1702.png,stimulus_1713.png,0.9037206,2.0,0.0
28,stimulus_1702.png,stimulus_1797.png,0.9436172,2.0,0.0
29,stimulus_1713.png,stimulus_1797.png,0.95060176,2.0,0.0
30,stimulus_1856.png,stimulus_1864.png,0.96391493,2.0,1.0
31,stimulus_1856.png,stimulus_1931.png,0.96528417,2.0,1.0
32,stimulus_1864.png,stimulus_1931.png,0.9776682,2.0,1.0
33,stimulus_2008.png,stimulus_2074.png,0.95476866,2.0,2.0
34,stimulus_2008.png,stimulus_2186.png,0.97163117,2.0,2.0
35,stimulus_2074.png,stimulus_2186.png,0.97578025,2.0,2.0
36,stimulus_2247.png,stimulus_2291.png,0.89905506,2.0,3.0
37,stimulus_2247.png,stimulus_2306.png,0.91069835,2.0,3.0
38,stimulus_2291.png,stimulus_2306.png,0.98650753,2.0,3.0
39,stimulus_2449.png,stimulus_2472.png,0.9616866,2.0,4.0
40,stimulus_2449.png,stimulus_2505.png,0.93665385,2.0,4.0
41,stimulus_2472.png,stimulus_2505.png,0.97368425,2.0,4.0
42,stimulus_2419.png,stimulus_2442.png,0.81159043,2.0,5.0
43,stimulus_2419.png,stimulus_2481.png,0.78341496,2.0,5.0
44,stimulus_2442.png,stimulus_2481.png,0.97150457,2.0,5.0
45,stimulus_2602.png,stimulus_2731.png,0.91407824,2.0,6.0
46,stimulus_2602.png,stimulus_2777.png,0.95029557,2.0,6.0
47,stimulus_2731.png,stimulus_2777.png,0.92754525,2.0,6.0
48,stimulus_2813.png,stimulus_2817.png,0.9160905,2.0,7.0
49,stimulus_2813.png,stimulus_2895.png,0.86488307,2.0,7.0
50,stimulus_2817.png,stimulus_2895.png,0.9124074,2.0,7.0
51,stimulus_3051.png,stimulus_3107.png,0.92911536,2.0,8.0
52,stimulus_3051.png,stimulus_3152.png,0.92588574,2.0,8.0
53,stimulus_3107.png,stimulus_3152.png,0.97452784,2.0,8.0
54,stimulus_3216.png,stimulus_3247.png,0.9408232,3.0,0.0
55,stimulus_3216.png,stimulus_3335.png,0.9411292,3.0,0.0
56,stimulus_3247.png,stimulus_3335.png,0.9147571,3.0,0.0
57,stimulus_3418.png,stimulus_3443.png,0.9487754,3.0,1.0
58,stimulus_3418.png,stimulus_3592.png,0.9813164,3.0,1.0
59,stimulus_3443.png,stimulus_3592.png,0.9674023,3.0,1.0
60,stimulus_3608.png,stimulus_3669.png,0.9716871,3.0,2.0
61,stimulus_3608.png,stimulus_3726.png,0.9823144,3.0,2.0
62,stimulus_3669.png,stimulus_3726.png,0.9776691,3.0,2.0
63,stimulus_3831.png,stimulus_3894.png,0.94012594,3.0,3.0
64,stimulus_3831.png,stimulus_3963.png,0.94985455,3.0,3.0
65,stimulus_3894.png,stimulus_3963.png,0.9776739,3.0,3.0
66,stimulus_4008.png,stimulus_4013.png,0.94640476,3.0,4.0
67,stimulus_4008.png,stimulus_4029.png,0.99431366,3.0,4.0
68,stimulus_4013.png,stimulus_4029.png,0.94820684,3.0,4.0
69,stimulus_4078.png,stimulus_4199.png,0.82545286,3.0,5.0
70,stimulus_4078.png,stimulus_4343.png,0.67640847,3.0,5.0
71,stimulus_4199.png,stimulus_4343.png,0.8846049,3.0,5.0
72,stimulus_4286.png,stimulus_4355.png,0.8278208,3.0,6.0
73,stimulus_4286.png,stimulus_4384.png,0.7842748,3.0,6.0
74,stimulus_4355.png,stimulus_4384.png,0.9749095,3.0,6.0
75,stimulus_4481.png,stimulus_4491.png,0.95720255,3.0,7.0
76,stimulus_4481.png,stimulus_4548.png,0.9799754,3.0,7.0
77,stimulus_4491.png,stimulus_4548.png,0.96749306,3.0,7.0
78,stimulus_4621.png,stimulus_4681.png,0.98696494,3.0,8.0
79,stimulus_4621.png,stimulus_4746.png,0.8927529,3.0,8.0
80,stimulus_4681.png,stimulus_4746.png,0.91063064,3.0,8.0
81,stimulus_4834.png,stimulus_4905.png,0.940732,4.0,0.0
82,stimulus_4834.png,stimulus_4965.png,0.8797694,4.0,0.0
83,stimulus_4905.png,stimulus_4965.png,0.93434876,4.0,0.0
84,stimulus_5026.png,stimulus_5059.png,0.93554795,4.0,1.0
85,stimulus_5026.png,stimulus_5165.png,0.9893653,4.0,1.0
86,stimulus_5059.png,stimulus_5165.png,0.9368918,4.0,1.0
87,stimulus_5286.png,stimulus_5352.png,0.88475955,4.0,2.0
88,stimulus_5286.png,stimulus_5358.png,0.9768173,4.0,2.0
89,stimulus_5352.png,stimulus_5358.png,0.9225903,4.0,2.0
90,stimulus_5413.png,stimulus_5468.png,0.968301,4.0,3.0
91,stimulus_5413.png,stimulus_5590.png,0.9230671,4.0,3.0
92,stimulus_5468.png,stimulus_5590.png,0.9264016,4.0,3.0
93,stimulus_5674.png,stimulus_5725.png,0.97813165,4.0,4.0
94,stimulus_5674.png,stimulus_5758.png,0.9483221,4.0,4.0
95,stimulus_5725.png,stimulus_5758.png,0.9815969,4.0,4.0
96,stimulus_5631.png,stimulus_5818.png,0.96295875,4.0,5.0
97,stimulus_5631.png,stimulus_5935.png,0.9798844,4.0,5.0
