,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.99999994,7.0,7.0,1260.0,same,0,151277313,32
1,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.99995816,7.0,7.0,1260.0,same,1,151277313,32
2,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.99981713,7.0,7.0,1260.0,same,2,151277313,32
3,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.99955344,7.0,7.0,1260.0,same,3,151277313,32
4,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.9992784,7.0,7.0,1260.0,same,4,151277313,32
5,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.99705034,7.0,7.0,1260.0,same,5,151277313,32
6,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.99658304,7.0,7.0,1260.0,same,6,151277313,32
7,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.99658144,7.0,7.0,1260.0,same,7,151277313,32
8,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.9963575,7.0,7.0,1260.0,same,8,151277313,32
9,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.99503756,7.0,7.0,1260.0,same,9,151277313,32
10,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.9898607,7.0,7.0,1260.0,same,10,151277313,32
11,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.9869001,7.0,7.0,1260.0,same,11,151277313,32
12,clip-base-patch32,dots,stimulus_158.png,stimulus_1457.png,0.9384696,7.0,7.0,1260.0,same,12,151277313,32
13,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.99999994,7.0,7.0,0.0,same,0,151277313,32
14,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.99999094,7.0,7.0,0.0,same,1,151277313,32
15,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.9999383,7.0,7.0,0.0,same,2,151277313,32
16,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.99964845,7.0,7.0,0.0,same,3,151277313,32
17,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.9995992,7.0,7.0,0.0,same,4,151277313,32
18,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.9989711,7.0,7.0,0.0,same,5,151277313,32
19,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.9984147,7.0,7.0,0.0,same,6,151277313,32
20,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.99796236,7.0,7.0,0.0,same,7,151277313,32
21,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.997692,7.0,7.0,0.0,same,8,151277313,32
22,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.9972262,7.0,7.0,0.0,same,9,151277313,32
23,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.9943513,7.0,7.0,0.0,same,10,151277313,32
24,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.99188495,7.0,7.0,0.0,same,11,151277313,32
25,clip-base-patch32,dots,stimulus_952.png,stimulus_1376.png,0.9309417,7.0,7.0,0.0,same,12,151277313,32
26,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.99999994,7.0,7.0,448.0,same,0,151277313,32
27,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.99997437,7.0,7.0,448.0,same,1,151277313,32
28,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.99993265,7.0,7.0,448.0,same,2,151277313,32
29,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.9997569,7.0,7.0,448.0,same,3,151277313,32
30,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.9995616,7.0,7.0,448.0,same,4,151277313,32
31,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.998429,7.0,7.0,448.0,same,5,151277313,32
32,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.9976048,7.0,7.0,448.0,same,6,151277313,32
33,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.9971009,7.0,7.0,448.0,same,7,151277313,32
34,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.99537843,7.0,7.0,448.0,same,8,151277313,32
35,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.99476266,7.0,7.0,448.0,same,9,151277313,32
36,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.99063694,7.0,7.0,448.0,same,10,151277313,32
37,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.980448,7.0,7.0,448.0,same,11,151277313,32
38,clip-base-patch32,dots,stimulus_891.png,stimulus_946.png,0.8504229,7.0,7.0,448.0,same,12,151277313,32
39,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.99999994,7.0,7.0,840.0,same,0,151277313,32
40,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.9999741,7.0,7.0,840.0,same,1,151277313,32
41,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.9999041,7.0,7.0,840.0,same,2,151277313,32
42,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.9996792,7.0,7.0,840.0,same,3,151277313,32
43,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.99950176,7.0,7.0,840.0,same,4,151277313,32
44,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.99852645,7.0,7.0,840.0,same,5,151277313,32
45,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.9974801,7.0,7.0,840.0,same,6,151277313,32
46,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.99702954,7.0,7.0,840.0,same,7,151277313,32
47,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.9944667,7.0,7.0,840.0,same,8,151277313,32
48,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.99260443,7.0,7.0,840.0,same,9,151277313,32
49,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.98638934,7.0,7.0,840.0,same,10,151277313,32
50,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.9767919,7.0,7.0,840.0,same,11,151277313,32
51,clip-base-patch32,dots,stimulus_312.png,stimulus_1392.png,0.854747,7.0,7.0,840.0,same,12,151277313,32
52,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.99999994,7.0,7.0,0.0,same,0,151277313,32
53,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.9999946,7.0,7.0,0.0,same,1,151277313,32
54,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.99996805,7.0,7.0,0.0,same,2,151277313,32
55,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.99984336,7.0,7.0,0.0,same,3,151277313,32
56,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.9997394,7.0,7.0,0.0,same,4,151277313,32
57,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.99837625,7.0,7.0,0.0,same,5,151277313,32
58,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.99798673,7.0,7.0,0.0,same,6,151277313,32
59,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.9976785,7.0,7.0,0.0,same,7,151277313,32
60,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.99639785,7.0,7.0,0.0,same,8,151277313,32
61,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.9964187,7.0,7.0,0.0,same,9,151277313,32
62,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.9919755,7.0,7.0,0.0,same,10,151277313,32
63,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.9927797,7.0,7.0,0.0,same,11,151277313,32
64,clip-base-patch32,dots,stimulus_71.png,stimulus_270.png,0.9451119,7.0,7.0,0.0,same,12,151277313,32
65,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.99999994,7.0,7.0,448.0,same,0,151277313,32
66,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.9999908,7.0,7.0,448.0,same,1,151277313,32
67,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.99990755,7.0,7.0,448.0,same,2,151277313,32
68,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.9996151,7.0,7.0,448.0,same,3,151277313,32
69,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.99944115,7.0,7.0,448.0,same,4,151277313,32
70,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.99799263,7.0,7.0,448.0,same,5,151277313,32
71,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.99765414,7.0,7.0,448.0,same,6,151277313,32
72,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.9975036,7.0,7.0,448.0,same,7,151277313,32
73,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.9945677,7.0,7.0,448.0,same,8,151277313,32
74,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.9922027,7.0,7.0,448.0,same,9,151277313,32
75,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.98268735,7.0,7.0,448.0,same,10,151277313,32
76,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.9814428,7.0,7.0,448.0,same,11,151277313,32
77,clip-base-patch32,dots,stimulus_548.png,stimulus_1395.png,0.8694951,7.0,7.0,448.0,same,12,151277313,32
78,clip-base-patch32,dots,stimulus_1026.png,stimulus_1429.png,0.99999994,7.0,7.0,0.0,same,0,151277313,32
79,clip-base-patch32,dots,stimulus_1026.png,stimulus_1429.png,0.9999846,7.0,7.0,0.0,same,1,151277313,32
80,clip-base-patch32,dots,stimulus_1026.png,stimulus_1429.png,0.99995655,7.0,7.0,0.0,same,2,151277313,32
81,clip-base-patch32,dots,stimulus_1026.png,stimulus_1429.png,0.99986804,7.0,7.0,0.0,same,3,151277313,32
82,clip-base-patch32,dots,stimulus_1026.png,stimulus_1429.png,0.9997794,7.0,7.0,0.0,same,4,151277313,32
83,clip-base-patch32,dots,stimulus_1026.png,stimulus_1429.png,0.9991228,7.0,7.0,0.0,same,5,151277313,32
84,clip-base-patch32,dots,stimulus_1026.png,stimulus_1429.png,0.99839365,7.0,7.0,0.0,same,6,151277313,32
85,clip-base-patch32,dots,stimulus_1026.png,stimulus_1429.png,0.9987466,7.0,7.0,0.0,same,7,151277313,32
