,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.99999994,1.0,1.0,132.0,same,0,151277313,32
1,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.99991673,1.0,1.0,132.0,same,1,151277313,32
2,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9996649,1.0,1.0,132.0,same,2,151277313,32
3,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9994523,1.0,1.0,132.0,same,3,151277313,32
4,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.99918866,1.0,1.0,132.0,same,4,151277313,32
5,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9980698,1.0,1.0,132.0,same,5,151277313,32
6,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9961489,1.0,1.0,132.0,same,6,151277313,32
7,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.99472165,1.0,1.0,132.0,same,7,151277313,32
8,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9932034,1.0,1.0,132.0,same,8,151277313,32
9,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.98913485,1.0,1.0,132.0,same,9,151277313,32
10,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.97380054,1.0,1.0,132.0,same,10,151277313,32
11,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9810945,1.0,1.0,132.0,same,11,151277313,32
12,clip-base-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.91380286,1.0,1.0,132.0,same,12,151277313,32
13,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.99999994,1.0,1.0,166.0,same,0,151277313,32
14,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9997473,1.0,1.0,166.0,same,1,151277313,32
15,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9996105,1.0,1.0,166.0,same,2,151277313,32
16,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9994122,1.0,1.0,166.0,same,3,151277313,32
17,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9993526,1.0,1.0,166.0,same,4,151277313,32
18,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9983296,1.0,1.0,166.0,same,5,151277313,32
19,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.99734926,1.0,1.0,166.0,same,6,151277313,32
20,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.996836,1.0,1.0,166.0,same,7,151277313,32
21,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.99540585,1.0,1.0,166.0,same,8,151277313,32
22,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9902553,1.0,1.0,166.0,same,9,151277313,32
23,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9749382,1.0,1.0,166.0,same,10,151277313,32
24,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9704983,1.0,1.0,166.0,same,11,151277313,32
25,clip-base-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.86795443,1.0,1.0,166.0,same,12,151277313,32
26,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.99999994,1.0,1.0,200.0,same,0,151277313,32
27,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.99987125,1.0,1.0,200.0,same,1,151277313,32
28,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.99945295,1.0,1.0,200.0,same,2,151277313,32
29,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.99905217,1.0,1.0,200.0,same,3,151277313,32
30,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.9990421,1.0,1.0,200.0,same,4,151277313,32
31,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.99662375,1.0,1.0,200.0,same,5,151277313,32
32,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.9946929,1.0,1.0,200.0,same,6,151277313,32
33,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.9913778,1.0,1.0,200.0,same,7,151277313,32
34,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.99131155,1.0,1.0,200.0,same,8,151277313,32
35,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.9869237,1.0,1.0,200.0,same,9,151277313,32
36,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.9709989,1.0,1.0,200.0,same,10,151277313,32
37,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.97860795,1.0,1.0,200.0,same,11,151277313,32
38,clip-base-patch32,rectangles,stimulus_216.png,stimulus_1575.png,0.89697826,1.0,1.0,200.0,same,12,151277313,32
39,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.99999994,1.0,1.0,132.0,same,0,151277313,32
40,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.99982834,1.0,1.0,132.0,same,1,151277313,32
41,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.9995124,1.0,1.0,132.0,same,2,151277313,32
42,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.9989852,1.0,1.0,132.0,same,3,151277313,32
43,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.99888974,1.0,1.0,132.0,same,4,151277313,32
44,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.9933921,1.0,1.0,132.0,same,5,151277313,32
45,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.9919571,1.0,1.0,132.0,same,6,151277313,32
46,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.9915737,1.0,1.0,132.0,same,7,151277313,32
47,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.99088854,1.0,1.0,132.0,same,8,151277313,32
48,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.9863037,1.0,1.0,132.0,same,9,151277313,32
49,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.9677297,1.0,1.0,132.0,same,10,151277313,32
50,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.97295654,1.0,1.0,132.0,same,11,151277313,32
51,clip-base-patch32,rectangles,stimulus_323.png,stimulus_1048.png,0.8839706,1.0,1.0,132.0,same,12,151277313,32
52,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.99999994,1.0,1.0,220.0,same,0,151277313,32
53,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.99971175,1.0,1.0,220.0,same,1,151277313,32
54,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.9991583,1.0,1.0,220.0,same,2,151277313,32
55,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.99881536,1.0,1.0,220.0,same,3,151277313,32
56,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.9990208,1.0,1.0,220.0,same,4,151277313,32
57,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.9964227,1.0,1.0,220.0,same,5,151277313,32
58,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.9944041,1.0,1.0,220.0,same,6,151277313,32
59,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.9917594,1.0,1.0,220.0,same,7,151277313,32
60,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.9908196,1.0,1.0,220.0,same,8,151277313,32
61,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.9842378,1.0,1.0,220.0,same,9,151277313,32
62,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.96069396,1.0,1.0,220.0,same,10,151277313,32
63,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.97100717,1.0,1.0,220.0,same,11,151277313,32
64,clip-base-patch32,rectangles,stimulus_142.png,stimulus_1558.png,0.8651131,1.0,1.0,220.0,same,12,151277313,32
65,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.99999994,1.0,1.0,68.0,same,0,151277313,32
66,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.9999794,1.0,1.0,68.0,same,1,151277313,32
67,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.99991804,1.0,1.0,68.0,same,2,151277313,32
68,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.9995174,1.0,1.0,68.0,same,3,151277313,32
69,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.9993034,1.0,1.0,68.0,same,4,151277313,32
70,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.9965356,1.0,1.0,68.0,same,5,151277313,32
71,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.99414104,1.0,1.0,68.0,same,6,151277313,32
72,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.98904204,1.0,1.0,68.0,same,7,151277313,32
73,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.99064714,1.0,1.0,68.0,same,8,151277313,32
74,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.9907963,1.0,1.0,68.0,same,9,151277313,32
75,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.9801463,1.0,1.0,68.0,same,10,151277313,32
76,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.98764384,1.0,1.0,68.0,same,11,151277313,32
77,clip-base-patch32,rectangles,stimulus_292.png,stimulus_729.png,0.943823,1.0,1.0,68.0,same,12,151277313,32
78,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.99999994,1.0,1.0,27.0,same,0,151277313,32
79,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.99994653,1.0,1.0,27.0,same,1,151277313,32
80,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.99988925,1.0,1.0,27.0,same,2,151277313,32
81,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.9996945,1.0,1.0,27.0,same,3,151277313,32
82,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.99952435,1.0,1.0,27.0,same,4,151277313,32
83,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.9982098,1.0,1.0,27.0,same,5,151277313,32
84,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.99628556,1.0,1.0,27.0,same,6,151277313,32
85,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.99622405,1.0,1.0,27.0,same,7,151277313,32
86,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.9950739,1.0,1.0,27.0,same,8,151277313,32
87,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.9904255,1.0,1.0,27.0,same,9,151277313,32
88,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.9764355,1.0,1.0,27.0,same,10,151277313,32
89,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.98690736,1.0,1.0,27.0,same,11,151277313,32
90,clip-base-patch32,rectangles,stimulus_813.png,stimulus_1169.png,0.9368932,1.0,1.0,27.0,same,12,151277313,32
91,clip-base-patch32,rectangles,stimulus_595.png,stimulus_761.png,0.99999994,1.0,1.0,32.0,same,0,151277313,32
92,clip-base-patch32,rectangles,stimulus_595.png,stimulus_761.png,0.99994224,1.0,1.0,32.0,same,1,151277313,32
93,clip-base-patch32,rectangles,stimulus_595.png,stimulus_761.png,0.99984235,1.0,1.0,32.0,same,2,151277313,32
94,clip-base-patch32,rectangles,stimulus_595.png,stimulus_761.png,0.9995898,1.0,1.0,32.0,same,3,151277313,32
95,clip-base-patch32,rectangles,stimulus_595.png,stimulus_761.png,0.99925864,1.0,1.0,32.0,same,4,151277313,32
96,clip-base-patch32,rectangles,stimulus_595.png,stimulus_761.png,0.99745286,1.0,1.0,32.0,same,5,151277313,32
97,clip-base-patch32,rectangles,stimulus_595.png,stimulus_761.png,0.9961075,1.0,1.0,32.0,same,6,151277313,32
98,clip-base-patch32,rectangles,stimulus_595.png,stimulus_761.png,0.9958316,1.0,1.0,32.0,same,7,151277313,32
99,clip-base-patch32,rectangles,stimulus_595.png,stimulus_761.png,0.99434537,1.0,1.0,32.0,same,8,151277313,32
