,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9999999,7.0,7.0,448.0,same,0,1366678273,14
1,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.99998665,7.0,7.0,448.0,same,1,1366678273,14
2,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9999423,7.0,7.0,448.0,same,2,1366678273,14
3,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9998148,7.0,7.0,448.0,same,3,1366678273,14
4,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.99966013,7.0,7.0,448.0,same,4,1366678273,14
5,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.99920404,7.0,7.0,448.0,same,5,1366678273,14
6,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.99879587,7.0,7.0,448.0,same,6,1366678273,14
7,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.99773484,7.0,7.0,448.0,same,7,1366678273,14
8,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9961521,7.0,7.0,448.0,same,8,1366678273,14
9,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9930032,7.0,7.0,448.0,same,9,1366678273,14
10,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9895519,7.0,7.0,448.0,same,10,1366678273,14
11,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.98663825,7.0,7.0,448.0,same,11,1366678273,14
12,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9807841,7.0,7.0,448.0,same,12,1366678273,14
13,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.98063916,7.0,7.0,448.0,same,13,1366678273,14
14,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.980228,7.0,7.0,448.0,same,14,1366678273,14
15,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.97782856,7.0,7.0,448.0,same,15,1366678273,14
16,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9736511,7.0,7.0,448.0,same,16,1366678273,14
17,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.97019345,7.0,7.0,448.0,same,17,1366678273,14
18,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.96711683,7.0,7.0,448.0,same,18,1366678273,14
19,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9653646,7.0,7.0,448.0,same,19,1366678273,14
20,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9641589,7.0,7.0,448.0,same,20,1366678273,14
21,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9636821,7.0,7.0,448.0,same,21,1366678273,14
22,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9594247,7.0,7.0,448.0,same,22,1366678273,14
23,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9546602,7.0,7.0,448.0,same,23,1366678273,14
24,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.953786,7.0,7.0,448.0,same,24,1366678273,14
25,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9500858,7.0,7.0,448.0,same,25,1366678273,14
26,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9495617,7.0,7.0,448.0,same,26,1366678273,14
27,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.94819474,7.0,7.0,448.0,same,27,1366678273,14
28,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9457282,7.0,7.0,448.0,same,28,1366678273,14
29,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9421317,7.0,7.0,448.0,same,29,1366678273,14
30,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.93967354,7.0,7.0,448.0,same,30,1366678273,14
31,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.931633,7.0,7.0,448.0,same,31,1366678273,14
32,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9332013,7.0,7.0,448.0,same,32,1366678273,14
33,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.93206817,7.0,7.0,448.0,same,33,1366678273,14
34,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9294952,7.0,7.0,448.0,same,34,1366678273,14
35,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9250345,7.0,7.0,448.0,same,35,1366678273,14
36,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9226682,7.0,7.0,448.0,same,36,1366678273,14
37,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9279883,7.0,7.0,448.0,same,37,1366678273,14
38,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9335741,7.0,7.0,448.0,same,38,1366678273,14
39,clip-giant-patch14,dots,stimulus_479.png,stimulus_997.png,0.9347807,7.0,7.0,448.0,same,39,1366678273,14
