,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,1.0000002,1.0,1.0,132.0,same,0,986109441,14
1,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.9992143,1.0,1.0,132.0,same,1,986109441,14
2,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.9991217,1.0,1.0,132.0,same,2,986109441,14
3,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.9989252,1.0,1.0,132.0,same,3,986109441,14
4,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.9983497,1.0,1.0,132.0,same,4,986109441,14
5,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.9975215,1.0,1.0,132.0,same,5,986109441,14
6,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.99681556,1.0,1.0,132.0,same,6,986109441,14
7,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.9942106,1.0,1.0,132.0,same,7,986109441,14
8,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.989506,1.0,1.0,132.0,same,8,986109441,14
9,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.9834617,1.0,1.0,132.0,same,9,986109441,14
10,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.9818853,1.0,1.0,132.0,same,10,986109441,14
11,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.9663944,1.0,1.0,132.0,same,11,986109441,14
12,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.9495636,1.0,1.0,132.0,same,12,986109441,14
13,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.9407266,1.0,1.0,132.0,same,13,986109441,14
14,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.934662,1.0,1.0,132.0,same,14,986109441,14
15,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.8995765,1.0,1.0,132.0,same,15,986109441,14
16,clip-huge-14,rectangles,stimulus_390.png,stimulus_1151.png,0.8913309,1.0,1.0,132.0,same,16,986109441,14
