,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,1.0000002,7.0,7.0,448.0,same,0,986109441,14
1,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.99998426,7.0,7.0,448.0,same,1,986109441,14
2,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.99992895,7.0,7.0,448.0,same,2,986109441,14
3,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9996428,7.0,7.0,448.0,same,3,986109441,14
4,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.99937576,7.0,7.0,448.0,same,4,986109441,14
5,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9990524,7.0,7.0,448.0,same,5,986109441,14
6,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9985827,7.0,7.0,448.0,same,6,986109441,14
7,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.99682033,7.0,7.0,448.0,same,7,986109441,14
8,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9953915,7.0,7.0,448.0,same,8,986109441,14
9,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.99249005,7.0,7.0,448.0,same,9,986109441,14
10,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.98975456,7.0,7.0,448.0,same,10,986109441,14
11,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.98028845,7.0,7.0,448.0,same,11,986109441,14
12,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9750875,7.0,7.0,448.0,same,12,986109441,14
13,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9767555,7.0,7.0,448.0,same,13,986109441,14
14,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.97498375,7.0,7.0,448.0,same,14,986109441,14
15,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.978065,7.0,7.0,448.0,same,15,986109441,14
16,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9761089,7.0,7.0,448.0,same,16,986109441,14
17,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.96537125,7.0,7.0,448.0,same,17,986109441,14
18,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9643856,7.0,7.0,448.0,same,18,986109441,14
19,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.96228755,7.0,7.0,448.0,same,19,986109441,14
20,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9610147,7.0,7.0,448.0,same,20,986109441,14
21,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9569682,7.0,7.0,448.0,same,21,986109441,14
22,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.95345414,7.0,7.0,448.0,same,22,986109441,14
23,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.948696,7.0,7.0,448.0,same,23,986109441,14
24,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9454094,7.0,7.0,448.0,same,24,986109441,14
25,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9426045,7.0,7.0,448.0,same,25,986109441,14
26,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9407002,7.0,7.0,448.0,same,26,986109441,14
27,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.94022644,7.0,7.0,448.0,same,27,986109441,14
28,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.935092,7.0,7.0,448.0,same,28,986109441,14
29,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.93247867,7.0,7.0,448.0,same,29,986109441,14
30,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9266674,7.0,7.0,448.0,same,30,986109441,14
31,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9241762,7.0,7.0,448.0,same,31,986109441,14
32,clip-huge-patch14,dots,stimulus_479.png,stimulus_997.png,0.9238378,7.0,7.0,448.0,same,32,986109441,14
33,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,1.0000002,7.0,7.0,0.0,same,0,986109441,14
34,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9999869,7.0,7.0,0.0,same,1,986109441,14
35,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9999434,7.0,7.0,0.0,same,2,986109441,14
36,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9997138,7.0,7.0,0.0,same,3,986109441,14
37,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9995508,7.0,7.0,0.0,same,4,986109441,14
38,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9994075,7.0,7.0,0.0,same,5,986109441,14
39,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.99910235,7.0,7.0,0.0,same,6,986109441,14
40,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9983783,7.0,7.0,0.0,same,7,986109441,14
41,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.99714094,7.0,7.0,0.0,same,8,986109441,14
42,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9960037,7.0,7.0,0.0,same,9,986109441,14
43,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.99357337,7.0,7.0,0.0,same,10,986109441,14
44,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.98794216,7.0,7.0,0.0,same,11,986109441,14
45,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.97888887,7.0,7.0,0.0,same,12,986109441,14
46,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9794395,7.0,7.0,0.0,same,13,986109441,14
47,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.98107713,7.0,7.0,0.0,same,14,986109441,14
48,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.98311365,7.0,7.0,0.0,same,15,986109441,14
49,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9815289,7.0,7.0,0.0,same,16,986109441,14
50,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.979584,7.0,7.0,0.0,same,17,986109441,14
51,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.98020923,7.0,7.0,0.0,same,18,986109441,14
52,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9794411,7.0,7.0,0.0,same,19,986109441,14
53,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9805948,7.0,7.0,0.0,same,20,986109441,14
54,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9789442,7.0,7.0,0.0,same,21,986109441,14
55,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9753554,7.0,7.0,0.0,same,22,986109441,14
56,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9734688,7.0,7.0,0.0,same,23,986109441,14
57,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9712911,7.0,7.0,0.0,same,24,986109441,14
58,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9695246,7.0,7.0,0.0,same,25,986109441,14
59,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.969114,7.0,7.0,0.0,same,26,986109441,14
60,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9681138,7.0,7.0,0.0,same,27,986109441,14
61,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.96479094,7.0,7.0,0.0,same,28,986109441,14
62,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9642614,7.0,7.0,0.0,same,29,986109441,14
63,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9629714,7.0,7.0,0.0,same,30,986109441,14
64,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9600768,7.0,7.0,0.0,same,31,986109441,14
65,clip-huge-patch14,dots,stimulus_737.png,stimulus_846.png,0.9617326,7.0,7.0,0.0,same,32,986109441,14
66,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,1.0000002,7.0,7.0,392.0,same,0,986109441,14
67,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.99995834,7.0,7.0,392.0,same,1,986109441,14
68,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.99989384,7.0,7.0,392.0,same,2,986109441,14
69,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.9993508,7.0,7.0,392.0,same,3,986109441,14
70,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.9992032,7.0,7.0,392.0,same,4,986109441,14
71,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.998843,7.0,7.0,392.0,same,5,986109441,14
72,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.99824375,7.0,7.0,392.0,same,6,986109441,14
73,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.99726105,7.0,7.0,392.0,same,7,986109441,14
74,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.9957033,7.0,7.0,392.0,same,8,986109441,14
75,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.99315405,7.0,7.0,392.0,same,9,986109441,14
76,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.99230987,7.0,7.0,392.0,same,10,986109441,14
77,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.98948133,7.0,7.0,392.0,same,11,986109441,14
78,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.98044884,7.0,7.0,392.0,same,12,986109441,14
79,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.98145515,7.0,7.0,392.0,same,13,986109441,14
80,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.9810517,7.0,7.0,392.0,same,14,986109441,14
81,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.98060596,7.0,7.0,392.0,same,15,986109441,14
82,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.97837543,7.0,7.0,392.0,same,16,986109441,14
83,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.9622078,7.0,7.0,392.0,same,17,986109441,14
84,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.96502453,7.0,7.0,392.0,same,18,986109441,14
85,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.9626292,7.0,7.0,392.0,same,19,986109441,14
86,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.9615124,7.0,7.0,392.0,same,20,986109441,14
87,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.96113646,7.0,7.0,392.0,same,21,986109441,14
88,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.9584425,7.0,7.0,392.0,same,22,986109441,14
89,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.9548836,7.0,7.0,392.0,same,23,986109441,14
90,clip-huge-patch14,dots,stimulus_55.png,stimulus_590.png,0.953241,7.0,7.0,392.0,same,24,986109441,14
