,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,1.0,7.0,7.0,1260.0,same,0,427616513,14
1,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.9999329,7.0,7.0,1260.0,same,1,427616513,14
2,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.99983245,7.0,7.0,1260.0,same,2,427616513,14
3,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.99979293,7.0,7.0,1260.0,same,3,427616513,14
4,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.99937224,7.0,7.0,1260.0,same,4,427616513,14
5,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.9989006,7.0,7.0,1260.0,same,5,427616513,14
6,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.99754405,7.0,7.0,1260.0,same,6,427616513,14
7,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.99484247,7.0,7.0,1260.0,same,7,427616513,14
8,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.991893,7.0,7.0,1260.0,same,8,427616513,14
9,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.9888949,7.0,7.0,1260.0,same,9,427616513,14
10,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.98766285,7.0,7.0,1260.0,same,10,427616513,14
11,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.97886616,7.0,7.0,1260.0,same,11,427616513,14
12,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.98146844,7.0,7.0,1260.0,same,12,427616513,14
13,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.9794183,7.0,7.0,1260.0,same,13,427616513,14
14,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.9756859,7.0,7.0,1260.0,same,14,427616513,14
15,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.9748361,7.0,7.0,1260.0,same,15,427616513,14
16,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.9693298,7.0,7.0,1260.0,same,16,427616513,14
17,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.96070343,7.0,7.0,1260.0,same,17,427616513,14
18,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.9569681,7.0,7.0,1260.0,same,18,427616513,14
19,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.9465471,7.0,7.0,1260.0,same,19,427616513,14
20,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.9267092,7.0,7.0,1260.0,same,20,427616513,14
21,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.9139761,7.0,7.0,1260.0,same,21,427616513,14
22,clip-large-patch14,dots,stimulus_158.png,stimulus_1457.png,0.92536867,7.0,7.0,1260.0,same,22,427616513,14
