,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,1.0,1.0,1.0,132.0,same,0,427616513,14
1,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9996447,1.0,1.0,132.0,same,1,427616513,14
2,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.99964774,1.0,1.0,132.0,same,2,427616513,14
3,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.99956125,1.0,1.0,132.0,same,3,427616513,14
4,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.99912685,1.0,1.0,132.0,same,4,427616513,14
5,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9983447,1.0,1.0,132.0,same,5,427616513,14
6,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9967013,1.0,1.0,132.0,same,6,427616513,14
7,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.99155486,1.0,1.0,132.0,same,7,427616513,14
8,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9894743,1.0,1.0,132.0,same,8,427616513,14
9,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.98462087,1.0,1.0,132.0,same,9,427616513,14
10,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9836736,1.0,1.0,132.0,same,10,427616513,14
11,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9762862,1.0,1.0,132.0,same,11,427616513,14
12,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9544521,1.0,1.0,132.0,same,12,427616513,14
13,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9389128,1.0,1.0,132.0,same,13,427616513,14
14,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.91182643,1.0,1.0,132.0,same,14,427616513,14
15,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.90238494,1.0,1.0,132.0,same,15,427616513,14
16,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.89229363,1.0,1.0,132.0,same,16,427616513,14
17,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.8836246,1.0,1.0,132.0,same,17,427616513,14
18,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.8553903,1.0,1.0,132.0,same,18,427616513,14
19,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.8338612,1.0,1.0,132.0,same,19,427616513,14
20,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.81187916,1.0,1.0,132.0,same,20,427616513,14
21,clip-large-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.8068217,1.0,1.0,132.0,same,21,427616513,14
