,model_name,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer
0,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,1.0000001,1.0,1.0,6.0,same,0
1,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,0.99991786,1.0,1.0,6.0,same,1
2,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,0.9999111,1.0,1.0,6.0,same,2
3,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,0.99991494,1.0,1.0,6.0,same,3
4,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,0.9995831,1.0,1.0,6.0,same,4
5,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,0.9992796,1.0,1.0,6.0,same,5
6,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,0.9985449,1.0,1.0,6.0,same,6
7,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,0.99800074,1.0,1.0,6.0,same,7
8,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,0.9938257,1.0,1.0,6.0,same,8
9,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,0.993338,1.0,1.0,6.0,same,9
10,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,0.993297,1.0,1.0,6.0,same,10
11,clip-vit-base-patch32,stimulus_7.png,stimulus_178.png,0.99388224,1.0,1.0,6.0,same,11
12,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,1.0000001,1.0,1.0,61.0,same,0
13,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,0.99970186,1.0,1.0,61.0,same,1
14,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,0.9997818,1.0,1.0,61.0,same,2
15,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,0.9998735,1.0,1.0,61.0,same,3
16,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,0.99967617,1.0,1.0,61.0,same,4
17,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,0.99927634,1.0,1.0,61.0,same,5
18,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,0.99860245,1.0,1.0,61.0,same,6
19,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,0.99840534,1.0,1.0,61.0,same,7
20,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,0.9947205,1.0,1.0,61.0,same,8
21,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,0.9943878,1.0,1.0,61.0,same,9
22,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,0.9907469,1.0,1.0,61.0,same,10
23,clip-vit-base-patch32,stimulus_770.png,stimulus_1181.png,0.98935485,1.0,1.0,61.0,same,11
24,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,1.0000001,1.0,1.0,31.0,same,0
25,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,0.99937224,1.0,1.0,31.0,same,1
26,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,0.99972856,1.0,1.0,31.0,same,2
27,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,0.99987,1.0,1.0,31.0,same,3
28,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,0.9996446,1.0,1.0,31.0,same,4
29,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,0.99909097,1.0,1.0,31.0,same,5
30,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,0.99830645,1.0,1.0,31.0,same,6
31,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,0.996394,1.0,1.0,31.0,same,7
32,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,0.99404293,1.0,1.0,31.0,same,8
33,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,0.9938218,1.0,1.0,31.0,same,9
34,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,0.9932687,1.0,1.0,31.0,same,10
35,clip-vit-base-patch32,stimulus_1276.png,stimulus_1533.png,0.99288964,1.0,1.0,31.0,same,11
36,clip-vit-base-patch32,stimulus_310.png,stimulus_882.png,1.0000001,1.0,1.0,105.0,same,0
37,clip-vit-base-patch32,stimulus_310.png,stimulus_882.png,0.9992973,1.0,1.0,105.0,same,1
38,clip-vit-base-patch32,stimulus_310.png,stimulus_882.png,0.9996295,1.0,1.0,105.0,same,2
39,clip-vit-base-patch32,stimulus_310.png,stimulus_882.png,0.999762,1.0,1.0,105.0,same,3
40,clip-vit-base-patch32,stimulus_310.png,stimulus_882.png,0.9996123,1.0,1.0,105.0,same,4
41,clip-vit-base-patch32,stimulus_310.png,stimulus_882.png,0.99890465,1.0,1.0,105.0,same,5
42,clip-vit-base-patch32,stimulus_310.png,stimulus_882.png,0.99757457,1.0,1.0,105.0,same,6
43,clip-vit-base-patch32,stimulus_310.png,stimulus_882.png,0.9971057,1.0,1.0,105.0,same,7
44,clip-vit-base-patch32,stimulus_310.png,stimulus_882.png,0.99263805,1.0,1.0,105.0,same,8
45,clip-vit-base-patch32,stimulus_310.png,stimulus_882.png,0.9903804,1.0,1.0,105.0,same,9
46,clip-vit-base-patch32,stimulus_310.png,stimulus_882.png,0.9857109,1.0,1.0,105.0,same,10
