,model_name,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer
0,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,1.0000001,1.0,1.0,60.0,same,0
1,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.9996146,1.0,1.0,60.0,same,1
2,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.99953634,1.0,1.0,60.0,same,2
3,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.9994553,1.0,1.0,60.0,same,3
4,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.99945736,1.0,1.0,60.0,same,4
5,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.99867994,1.0,1.0,60.0,same,5
6,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.99751824,1.0,1.0,60.0,same,6
7,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.9962071,1.0,1.0,60.0,same,7
8,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.99283713,1.0,1.0,60.0,same,8
9,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.991132,1.0,1.0,60.0,same,9
10,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.98917717,1.0,1.0,60.0,same,10
11,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.9899272,1.0,1.0,60.0,same,11
12,clip-vit-base-patch32,stimulus_33.png,stimulus_467.png,0.9663483,1.0,1.0,60.0,same,12
13,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,1.0000001,1.0,1.0,135.0,same,0
14,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.9993604,1.0,1.0,135.0,same,1
15,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.9997479,1.0,1.0,135.0,same,2
16,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.9998088,1.0,1.0,135.0,same,3
17,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.9994698,1.0,1.0,135.0,same,4
18,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.99869096,1.0,1.0,135.0,same,5
19,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.9964342,1.0,1.0,135.0,same,6
20,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.9943152,1.0,1.0,135.0,same,7
21,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.99021906,1.0,1.0,135.0,same,8
22,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.99023086,1.0,1.0,135.0,same,9
23,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.98656213,1.0,1.0,135.0,same,10
24,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.9843798,1.0,1.0,135.0,same,11
25,clip-vit-base-patch32,stimulus_640.png,stimulus_1599.png,0.9107408,1.0,1.0,135.0,same,12
26,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,1.0000001,1.0,1.0,29.0,same,0
27,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.9996304,1.0,1.0,29.0,same,1
28,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.99984574,1.0,1.0,29.0,same,2
29,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.9998779,1.0,1.0,29.0,same,3
30,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.9995882,1.0,1.0,29.0,same,4
31,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.99879944,1.0,1.0,29.0,same,5
32,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.99707884,1.0,1.0,29.0,same,6
33,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.9956584,1.0,1.0,29.0,same,7
34,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.99023473,1.0,1.0,29.0,same,8
35,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.99102175,1.0,1.0,29.0,same,9
36,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.9870993,1.0,1.0,29.0,same,10
37,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.9872079,1.0,1.0,29.0,same,11
38,clip-vit-base-patch32,stimulus_1091.png,stimulus_1417.png,0.95966667,1.0,1.0,29.0,same,12
39,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,1.0000001,1.0,1.0,31.0,same,0
40,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.99963224,1.0,1.0,31.0,same,1
41,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.99982375,1.0,1.0,31.0,same,2
42,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.99988306,1.0,1.0,31.0,same,3
43,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.9997406,1.0,1.0,31.0,same,4
44,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.99930435,1.0,1.0,31.0,same,5
45,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.99781483,1.0,1.0,31.0,same,6
46,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.99578625,1.0,1.0,31.0,same,7
47,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.99455196,1.0,1.0,31.0,same,8
48,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.99371016,1.0,1.0,31.0,same,9
49,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.9924926,1.0,1.0,31.0,same,10
50,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.99143213,1.0,1.0,31.0,same,11
51,clip-vit-base-patch32,stimulus_1279.png,stimulus_1462.png,0.94893634,1.0,1.0,31.0,same,12
52,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,1.0000001,1.0,1.0,0.0,same,0
53,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.9998037,1.0,1.0,0.0,same,1
54,clip-vit-base-patch32,stimulus_870.png,stimulus_887.png,0.99993396,1.0,1.0,0.0,same,2
