,model_name,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer
0,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,1.0,1.0,1.0,27.0,same,0
1,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.9998503,1.0,1.0,27.0,same,1
2,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.999616,1.0,1.0,27.0,same,2
3,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.9996937,1.0,1.0,27.0,same,3
4,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.99966365,1.0,1.0,27.0,same,4
5,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.99927783,1.0,1.0,27.0,same,5
6,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.99870783,1.0,1.0,27.0,same,6
7,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.99808335,1.0,1.0,27.0,same,7
8,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.9977369,1.0,1.0,27.0,same,8
9,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.9970379,1.0,1.0,27.0,same,9
10,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.9939394,1.0,1.0,27.0,same,10
11,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.99150586,1.0,1.0,27.0,same,11
12,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.98289,1.0,1.0,27.0,same,12
13,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.97127265,1.0,1.0,27.0,same,13
14,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.94776887,1.0,1.0,27.0,same,14
15,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.9388672,1.0,1.0,27.0,same,15
16,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.90918297,1.0,1.0,27.0,same,16
17,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.9195513,1.0,1.0,27.0,same,17
18,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.91107,1.0,1.0,27.0,same,18
19,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.91670024,1.0,1.0,27.0,same,19
20,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.9293209,1.0,1.0,27.0,same,20
21,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.9285304,1.0,1.0,27.0,same,21
22,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.92248493,1.0,1.0,27.0,same,22
23,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.9428755,1.0,1.0,27.0,same,23
24,clip-vit-large-patch14,stimulus_881.png,stimulus_1151.png,0.913884,1.0,1.0,27.0,same,24
25,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,1.0,1.0,1.0,60.0,same,0
26,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.9998758,1.0,1.0,60.0,same,1
27,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.99940115,1.0,1.0,60.0,same,2
28,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.9994404,1.0,1.0,60.0,same,3
29,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.9994741,1.0,1.0,60.0,same,4
30,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.9993201,1.0,1.0,60.0,same,5
31,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.999007,1.0,1.0,60.0,same,6
32,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.99853027,1.0,1.0,60.0,same,7
33,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.9980877,1.0,1.0,60.0,same,8
34,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.99696356,1.0,1.0,60.0,same,9
35,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.99403715,1.0,1.0,60.0,same,10
36,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.9912662,1.0,1.0,60.0,same,11
37,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.98231167,1.0,1.0,60.0,same,12
38,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.98023355,1.0,1.0,60.0,same,13
39,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.97151005,1.0,1.0,60.0,same,14
40,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.95947707,1.0,1.0,60.0,same,15
41,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.9471371,1.0,1.0,60.0,same,16
42,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.9512275,1.0,1.0,60.0,same,17
43,clip-vit-large-patch14,stimulus_27.png,stimulus_426.png,0.9518491,1.0,1.0,60.0,same,18
