,model_name,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer
0,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.9999999,1.0,1.0,69.0,same,0
1,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.9994507,1.0,1.0,69.0,same,1
2,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.99760646,1.0,1.0,69.0,same,2
3,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.9939026,1.0,1.0,69.0,same,3
4,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.9910376,1.0,1.0,69.0,same,4
5,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.98905814,1.0,1.0,69.0,same,5
6,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.9898052,1.0,1.0,69.0,same,6
7,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.9919517,1.0,1.0,69.0,same,7
8,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.99172974,1.0,1.0,69.0,same,8
9,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.99181736,1.0,1.0,69.0,same,9
10,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.99020636,1.0,1.0,69.0,same,10
11,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.9876757,1.0,1.0,69.0,same,11
12,vit-base-patch16-224-in21k,stimulus_879.png,stimulus_1322.png,0.95464134,1.0,1.0,69.0,same,12
13,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.9999999,1.0,1.0,36.0,same,0
14,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.99987257,1.0,1.0,36.0,same,1
15,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.9983682,1.0,1.0,36.0,same,2
16,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.99473286,1.0,1.0,36.0,same,3
17,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.9923027,1.0,1.0,36.0,same,4
18,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.989974,1.0,1.0,36.0,same,5
19,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.9867347,1.0,1.0,36.0,same,6
20,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.9882166,1.0,1.0,36.0,same,7
21,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.9859104,1.0,1.0,36.0,same,8
22,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.9865024,1.0,1.0,36.0,same,9
23,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.9846858,1.0,1.0,36.0,same,10
24,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.9830379,1.0,1.0,36.0,same,11
25,vit-base-patch16-224-in21k,stimulus_279.png,stimulus_518.png,0.93996644,1.0,1.0,36.0,same,12
26,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.9999999,1.0,1.0,60.0,same,0
27,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.99910647,1.0,1.0,60.0,same,1
28,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.99621665,1.0,1.0,60.0,same,2
29,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.9947998,1.0,1.0,60.0,same,3
30,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.99194914,1.0,1.0,60.0,same,4
31,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.9938897,1.0,1.0,60.0,same,5
32,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.9943883,1.0,1.0,60.0,same,6
33,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.99514735,1.0,1.0,60.0,same,7
34,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.9957398,1.0,1.0,60.0,same,8
35,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.9960407,1.0,1.0,60.0,same,9
36,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.9954978,1.0,1.0,60.0,same,10
37,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.9928558,1.0,1.0,60.0,same,11
38,vit-base-patch16-224-in21k,stimulus_1129.png,stimulus_1494.png,0.97974974,1.0,1.0,60.0,same,12
39,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.9999999,1.0,1.0,0.0,same,0
40,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.9997737,1.0,1.0,0.0,same,1
41,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.9984427,1.0,1.0,0.0,same,2
42,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.99719846,1.0,1.0,0.0,same,3
43,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.99614024,1.0,1.0,0.0,same,4
44,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.9956913,1.0,1.0,0.0,same,5
45,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.99607575,1.0,1.0,0.0,same,6
46,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.99645305,1.0,1.0,0.0,same,7
47,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.9967513,1.0,1.0,0.0,same,8
48,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.9973097,1.0,1.0,0.0,same,9
49,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.99702615,1.0,1.0,0.0,same,10
50,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.99644905,1.0,1.0,0.0,same,11
51,vit-base-patch16-224-in21k,stimulus_918.png,stimulus_986.png,0.987767,1.0,1.0,0.0,same,12
52,vit-base-patch16-224-in21k,stimulus_432.png,stimulus_1151.png,0.9999999,1.0,1.0,106.0,same,0
53,vit-base-patch16-224-in21k,stimulus_432.png,stimulus_1151.png,0.999213,1.0,1.0,106.0,same,1
54,vit-base-patch16-224-in21k,stimulus_432.png,stimulus_1151.png,0.9939712,1.0,1.0,106.0,same,2
55,vit-base-patch16-224-in21k,stimulus_432.png,stimulus_1151.png,0.9894197,1.0,1.0,106.0,same,3
56,vit-base-patch16-224-in21k,stimulus_432.png,stimulus_1151.png,0.9857435,1.0,1.0,106.0,same,4
57,vit-base-patch16-224-in21k,stimulus_432.png,stimulus_1151.png,0.9842085,1.0,1.0,106.0,same,5
