,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.9999999,7.0,7.0,0.0,same,0,86389248,16
1,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.9999183,7.0,7.0,0.0,same,1,86389248,16
2,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.99907386,7.0,7.0,0.0,same,2,86389248,16
3,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.997198,7.0,7.0,0.0,same,3,86389248,16
4,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.9931359,7.0,7.0,0.0,same,4,86389248,16
5,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.99047744,7.0,7.0,0.0,same,5,86389248,16
6,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.9903703,7.0,7.0,0.0,same,6,86389248,16
7,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.9892678,7.0,7.0,0.0,same,7,86389248,16
8,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.9891563,7.0,7.0,0.0,same,8,86389248,16
9,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.99057657,7.0,7.0,0.0,same,9,86389248,16
10,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.98959386,7.0,7.0,0.0,same,10,86389248,16
11,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.98646617,7.0,7.0,0.0,same,11,86389248,16
12,vit-base-patch16-224-in21k,dots,stimulus_1155.png,stimulus_1231.png,0.9279754,7.0,7.0,0.0,same,12,86389248,16
13,vit-base-patch16-224-in21k,dots,stimulus_571.png,stimulus_1418.png,0.9999999,7.0,7.0,448.0,same,0,86389248,16
14,vit-base-patch16-224-in21k,dots,stimulus_571.png,stimulus_1418.png,0.99993414,7.0,7.0,448.0,same,1,86389248,16
15,vit-base-patch16-224-in21k,dots,stimulus_571.png,stimulus_1418.png,0.9990614,7.0,7.0,448.0,same,2,86389248,16
