,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,1.0000001,1.0,1.0,106.0,same,0,151277313,32
1,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.9993844,1.0,1.0,106.0,same,1,151277313,32
2,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.9995496,1.0,1.0,106.0,same,2,151277313,32
3,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.99961764,1.0,1.0,106.0,same,3,151277313,32
4,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.9994164,1.0,1.0,106.0,same,4,151277313,32
5,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.998804,1.0,1.0,106.0,same,5,151277313,32
6,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.9980252,1.0,1.0,106.0,same,6,151277313,32
7,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.9955498,1.0,1.0,106.0,same,7,151277313,32
8,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.9915193,1.0,1.0,106.0,same,8,151277313,32
9,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.99166155,1.0,1.0,106.0,same,9,151277313,32
10,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.99111545,1.0,1.0,106.0,same,10,151277313,32
11,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.9930582,1.0,1.0,106.0,same,11,151277313,32
12,clip-vit-base-patch32,rectangles,stimulus_537.png,stimulus_1116.png,0.9728876,1.0,1.0,106.0,same,12,151277313,32
13,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,1.0000001,1.0,1.0,195.0,same,0,151277313,32
14,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.99805003,1.0,1.0,195.0,same,1,151277313,32
15,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.99881065,1.0,1.0,195.0,same,2,151277313,32
16,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.9991157,1.0,1.0,195.0,same,3,151277313,32
17,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.9987471,1.0,1.0,195.0,same,4,151277313,32
18,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.99779075,1.0,1.0,195.0,same,5,151277313,32
19,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.9963453,1.0,1.0,195.0,same,6,151277313,32
20,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.993289,1.0,1.0,195.0,same,7,151277313,32
21,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.98474836,1.0,1.0,195.0,same,8,151277313,32
22,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.9809463,1.0,1.0,195.0,same,9,151277313,32
23,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.97653866,1.0,1.0,195.0,same,10,151277313,32
24,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.97678155,1.0,1.0,195.0,same,11,151277313,32
25,clip-vit-base-patch32,rectangles,stimulus_39.png,stimulus_1217.png,0.9008147,1.0,1.0,195.0,same,12,151277313,32
26,clip-vit-base-patch32,rectangles,stimulus_466.png,stimulus_1042.png,1.0000001,1.0,1.0,106.0,same,0,151277313,32
27,clip-vit-base-patch32,rectangles,stimulus_466.png,stimulus_1042.png,0.9989704,1.0,1.0,106.0,same,1,151277313,32
28,clip-vit-base-patch32,rectangles,stimulus_466.png,stimulus_1042.png,0.99961334,1.0,1.0,106.0,same,2,151277313,32
29,clip-vit-base-patch32,rectangles,stimulus_466.png,stimulus_1042.png,0.9997168,1.0,1.0,106.0,same,3,151277313,32
30,clip-vit-base-patch32,rectangles,stimulus_466.png,stimulus_1042.png,0.9995537,1.0,1.0,106.0,same,4,151277313,32
