,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.9999999,7.0,7.0,840.0,same,0,86389248,16
1,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.99984777,7.0,7.0,840.0,same,1,86389248,16
2,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.9990591,7.0,7.0,840.0,same,2,86389248,16
3,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.995151,7.0,7.0,840.0,same,3,86389248,16
4,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.9921841,7.0,7.0,840.0,same,4,86389248,16
5,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.9876549,7.0,7.0,840.0,same,5,86389248,16
6,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.9867017,7.0,7.0,840.0,same,6,86389248,16
7,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.9853691,7.0,7.0,840.0,same,7,86389248,16
8,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.9852203,7.0,7.0,840.0,same,8,86389248,16
9,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.98586273,7.0,7.0,840.0,same,9,86389248,16
10,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.98515385,7.0,7.0,840.0,same,10,86389248,16
11,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.98085535,7.0,7.0,840.0,same,11,86389248,16
12,vit-base-patch16,dots,stimulus_347.png,stimulus_1065.png,0.8201262,7.0,7.0,840.0,same,12,86389248,16
13,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.9999999,7.0,7.0,420.0,same,0,86389248,16
14,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.9999391,7.0,7.0,420.0,same,1,86389248,16
15,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.9990761,7.0,7.0,420.0,same,2,86389248,16
16,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.9959771,7.0,7.0,420.0,same,3,86389248,16
17,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.99376434,7.0,7.0,420.0,same,4,86389248,16
18,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.99003303,7.0,7.0,420.0,same,5,86389248,16
19,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.98959786,7.0,7.0,420.0,same,6,86389248,16
20,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.9884287,7.0,7.0,420.0,same,7,86389248,16
21,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.9870224,7.0,7.0,420.0,same,8,86389248,16
22,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.98889184,7.0,7.0,420.0,same,9,86389248,16
23,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.9875807,7.0,7.0,420.0,same,10,86389248,16
24,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.98328054,7.0,7.0,420.0,same,11,86389248,16
25,vit-base-patch16,dots,stimulus_1219.png,stimulus_1664.png,0.8902436,7.0,7.0,420.0,same,12,86389248,16
26,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.9999999,7.0,7.0,0.0,same,0,86389248,16
27,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.9998872,7.0,7.0,0.0,same,1,86389248,16
28,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.99872214,7.0,7.0,0.0,same,2,86389248,16
29,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.99532837,7.0,7.0,0.0,same,3,86389248,16
30,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.9937461,7.0,7.0,0.0,same,4,86389248,16
31,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.9928541,7.0,7.0,0.0,same,5,86389248,16
32,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.9922472,7.0,7.0,0.0,same,6,86389248,16
33,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.99253964,7.0,7.0,0.0,same,7,86389248,16
34,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.9921241,7.0,7.0,0.0,same,8,86389248,16
35,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.9930558,7.0,7.0,0.0,same,9,86389248,16
36,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.99265635,7.0,7.0,0.0,same,10,86389248,16
37,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.9905844,7.0,7.0,0.0,same,11,86389248,16
38,vit-base-patch16,dots,stimulus_1489.png,stimulus_1613.png,0.95954597,7.0,7.0,0.0,same,12,86389248,16
39,vit-base-patch16,dots,stimulus_7.png,stimulus_1434.png,0.9999999,7.0,7.0,1260.0,same,0,86389248,16
40,vit-base-patch16,dots,stimulus_7.png,stimulus_1434.png,0.9997724,7.0,7.0,1260.0,same,1,86389248,16
41,vit-base-patch16,dots,stimulus_7.png,stimulus_1434.png,0.99880373,7.0,7.0,1260.0,same,2,86389248,16
42,vit-base-patch16,dots,stimulus_7.png,stimulus_1434.png,0.99242157,7.0,7.0,1260.0,same,3,86389248,16
43,vit-base-patch16,dots,stimulus_7.png,stimulus_1434.png,0.9833933,7.0,7.0,1260.0,same,4,86389248,16
44,vit-base-patch16,dots,stimulus_7.png,stimulus_1434.png,0.97451615,7.0,7.0,1260.0,same,5,86389248,16
45,vit-base-patch16,dots,stimulus_7.png,stimulus_1434.png,0.97039896,7.0,7.0,1260.0,same,6,86389248,16
46,vit-base-patch16,dots,stimulus_7.png,stimulus_1434.png,0.97068524,7.0,7.0,1260.0,same,7,86389248,16
