,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.9999999,1.0,1.0,132.0,same,0,86389248,16
1,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.998907,1.0,1.0,132.0,same,1,86389248,16
2,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.9957892,1.0,1.0,132.0,same,2,86389248,16
3,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.99396914,1.0,1.0,132.0,same,3,86389248,16
4,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.9905015,1.0,1.0,132.0,same,4,86389248,16
5,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.98465675,1.0,1.0,132.0,same,5,86389248,16
6,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.98617315,1.0,1.0,132.0,same,6,86389248,16
7,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.9877099,1.0,1.0,132.0,same,7,86389248,16
8,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.98593783,1.0,1.0,132.0,same,8,86389248,16
9,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.98605615,1.0,1.0,132.0,same,9,86389248,16
10,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.9840884,1.0,1.0,132.0,same,10,86389248,16
11,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.98033994,1.0,1.0,132.0,same,11,86389248,16
12,vit-base-patch16,rectangles,stimulus_390.png,stimulus_1151.png,0.90725136,1.0,1.0,132.0,same,12,86389248,16
13,vit-base-patch16,rectangles,stimulus_406.png,stimulus_1512.png,0.9999999,1.0,1.0,166.0,same,0,86389248,16
14,vit-base-patch16,rectangles,stimulus_406.png,stimulus_1512.png,0.9974799,1.0,1.0,166.0,same,1,86389248,16
15,vit-base-patch16,rectangles,stimulus_406.png,stimulus_1512.png,0.99682266,1.0,1.0,166.0,same,2,86389248,16
16,vit-base-patch16,rectangles,stimulus_406.png,stimulus_1512.png,0.99559045,1.0,1.0,166.0,same,3,86389248,16
17,vit-base-patch16,rectangles,stimulus_406.png,stimulus_1512.png,0.99305725,1.0,1.0,166.0,same,4,86389248,16
