,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,1.0000002,1.0,1.0,10.0,same,0,632404480,14
1,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9999157,1.0,1.0,10.0,same,1,632404480,14
2,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.99930197,1.0,1.0,10.0,same,2,632404480,14
3,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.99829316,1.0,1.0,10.0,same,3,632404480,14
4,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.99681336,1.0,1.0,10.0,same,4,632404480,14
5,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9953289,1.0,1.0,10.0,same,5,632404480,14
6,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.99515533,1.0,1.0,10.0,same,6,632404480,14
7,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.99497527,1.0,1.0,10.0,same,7,632404480,14
8,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9952444,1.0,1.0,10.0,same,8,632404480,14
9,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9951683,1.0,1.0,10.0,same,9,632404480,14
10,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9950862,1.0,1.0,10.0,same,10,632404480,14
11,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9947022,1.0,1.0,10.0,same,11,632404480,14
12,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.99429876,1.0,1.0,10.0,same,12,632404480,14
13,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.99426645,1.0,1.0,10.0,same,13,632404480,14
14,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9933843,1.0,1.0,10.0,same,14,632404480,14
15,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9918363,1.0,1.0,10.0,same,15,632404480,14
16,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9918444,1.0,1.0,10.0,same,16,632404480,14
17,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.99174345,1.0,1.0,10.0,same,17,632404480,14
18,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9905458,1.0,1.0,10.0,same,18,632404480,14
19,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9897668,1.0,1.0,10.0,same,19,632404480,14
20,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.98956954,1.0,1.0,10.0,same,20,632404480,14
21,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9889896,1.0,1.0,10.0,same,21,632404480,14
22,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.987618,1.0,1.0,10.0,same,22,632404480,14
23,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9864685,1.0,1.0,10.0,same,23,632404480,14
24,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9862505,1.0,1.0,10.0,same,24,632404480,14
25,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9858794,1.0,1.0,10.0,same,25,632404480,14
26,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9852072,1.0,1.0,10.0,same,26,632404480,14
27,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.98522127,1.0,1.0,10.0,same,27,632404480,14
28,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.98547024,1.0,1.0,10.0,same,28,632404480,14
29,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9856262,1.0,1.0,10.0,same,29,632404480,14
30,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.98585206,1.0,1.0,10.0,same,30,632404480,14
31,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9886525,1.0,1.0,10.0,same,31,632404480,14
32,vit-huge-patch14-224-in21k,rectangles,stimulus_438.png,stimulus_579.png,0.9877958,1.0,1.0,10.0,same,32,632404480,14
33,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,1.0000002,1.0,1.0,12.0,same,0,632404480,14
34,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.9997445,1.0,1.0,12.0,same,1,632404480,14
35,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.9964301,1.0,1.0,12.0,same,2,632404480,14
36,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.9947481,1.0,1.0,12.0,same,3,632404480,14
37,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.9867509,1.0,1.0,12.0,same,4,632404480,14
38,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.98361075,1.0,1.0,12.0,same,5,632404480,14
39,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.98129845,1.0,1.0,12.0,same,6,632404480,14
40,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.98056763,1.0,1.0,12.0,same,7,632404480,14
41,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.97935784,1.0,1.0,12.0,same,8,632404480,14
42,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.97549844,1.0,1.0,12.0,same,9,632404480,14
43,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.9738963,1.0,1.0,12.0,same,10,632404480,14
44,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.9708355,1.0,1.0,12.0,same,11,632404480,14
45,vit-huge-patch14-224-in21k,rectangles,stimulus_631.png,stimulus_714.png,0.96977234,1.0,1.0,12.0,same,12,632404480,14
