,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,1.0000002,1.0,1.0,132.0,same,0,632404480,14
1,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9956949,1.0,1.0,132.0,same,1,632404480,14
2,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.99377984,1.0,1.0,132.0,same,2,632404480,14
3,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9936184,1.0,1.0,132.0,same,3,632404480,14
4,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9914369,1.0,1.0,132.0,same,4,632404480,14
5,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.98853046,1.0,1.0,132.0,same,5,632404480,14
6,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9862087,1.0,1.0,132.0,same,6,632404480,14
7,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.98477507,1.0,1.0,132.0,same,7,632404480,14
8,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.98332083,1.0,1.0,132.0,same,8,632404480,14
9,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.98271215,1.0,1.0,132.0,same,9,632404480,14
10,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.98161364,1.0,1.0,132.0,same,10,632404480,14
11,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9787508,1.0,1.0,132.0,same,11,632404480,14
12,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9726245,1.0,1.0,132.0,same,12,632404480,14
13,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.970802,1.0,1.0,132.0,same,13,632404480,14
14,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9681835,1.0,1.0,132.0,same,14,632404480,14
15,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9646028,1.0,1.0,132.0,same,15,632404480,14
16,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9661529,1.0,1.0,132.0,same,16,632404480,14
17,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9654918,1.0,1.0,132.0,same,17,632404480,14
18,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9617637,1.0,1.0,132.0,same,18,632404480,14
19,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9581209,1.0,1.0,132.0,same,19,632404480,14
20,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.95614636,1.0,1.0,132.0,same,20,632404480,14
21,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.95353,1.0,1.0,132.0,same,21,632404480,14
22,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.94709307,1.0,1.0,132.0,same,22,632404480,14
23,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.93568516,1.0,1.0,132.0,same,23,632404480,14
24,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9346885,1.0,1.0,132.0,same,24,632404480,14
25,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9291755,1.0,1.0,132.0,same,25,632404480,14
26,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9246203,1.0,1.0,132.0,same,26,632404480,14
27,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.92643666,1.0,1.0,132.0,same,27,632404480,14
28,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9255139,1.0,1.0,132.0,same,28,632404480,14
29,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9271444,1.0,1.0,132.0,same,29,632404480,14
30,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.93110454,1.0,1.0,132.0,same,30,632404480,14
31,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.9366735,1.0,1.0,132.0,same,31,632404480,14
32,vit-huge-patch14,rectangles,stimulus_390.png,stimulus_1151.png,0.93031424,1.0,1.0,132.0,same,32,632404480,14
33,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,1.0000002,1.0,1.0,166.0,same,0,632404480,14
34,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9953683,1.0,1.0,166.0,same,1,632404480,14
35,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9922632,1.0,1.0,166.0,same,2,632404480,14
36,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.99121916,1.0,1.0,166.0,same,3,632404480,14
37,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9900709,1.0,1.0,166.0,same,4,632404480,14
38,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.98748237,1.0,1.0,166.0,same,5,632404480,14
39,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9877014,1.0,1.0,166.0,same,6,632404480,14
40,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9868884,1.0,1.0,166.0,same,7,632404480,14
41,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.98653775,1.0,1.0,166.0,same,8,632404480,14
42,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.98417914,1.0,1.0,166.0,same,9,632404480,14
43,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9839164,1.0,1.0,166.0,same,10,632404480,14
44,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9832197,1.0,1.0,166.0,same,11,632404480,14
45,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9830634,1.0,1.0,166.0,same,12,632404480,14
46,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9820024,1.0,1.0,166.0,same,13,632404480,14
47,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9813505,1.0,1.0,166.0,same,14,632404480,14
48,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9782591,1.0,1.0,166.0,same,15,632404480,14
49,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9783132,1.0,1.0,166.0,same,16,632404480,14
50,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.97648597,1.0,1.0,166.0,same,17,632404480,14
51,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.97279316,1.0,1.0,166.0,same,18,632404480,14
52,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.96482116,1.0,1.0,166.0,same,19,632404480,14
53,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.96198374,1.0,1.0,166.0,same,20,632404480,14
54,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9571879,1.0,1.0,166.0,same,21,632404480,14
55,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9540946,1.0,1.0,166.0,same,22,632404480,14
56,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.94629586,1.0,1.0,166.0,same,23,632404480,14
57,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9424974,1.0,1.0,166.0,same,24,632404480,14
58,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9364654,1.0,1.0,166.0,same,25,632404480,14
59,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9210911,1.0,1.0,166.0,same,26,632404480,14
60,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.91969,1.0,1.0,166.0,same,27,632404480,14
61,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.92005986,1.0,1.0,166.0,same,28,632404480,14
62,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9190655,1.0,1.0,166.0,same,29,632404480,14
63,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.9131645,1.0,1.0,166.0,same,30,632404480,14
64,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.90538156,1.0,1.0,166.0,same,31,632404480,14
65,vit-huge-patch14,rectangles,stimulus_406.png,stimulus_1512.png,0.88839114,1.0,1.0,166.0,same,32,632404480,14
66,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,1.0000002,1.0,1.0,200.0,same,0,632404480,14
67,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.9886111,1.0,1.0,200.0,same,1,632404480,14
68,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.98818094,1.0,1.0,200.0,same,2,632404480,14
69,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.98614424,1.0,1.0,200.0,same,3,632404480,14
70,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.980827,1.0,1.0,200.0,same,4,632404480,14
71,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.9776695,1.0,1.0,200.0,same,5,632404480,14
72,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.9706631,1.0,1.0,200.0,same,6,632404480,14
73,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.97027373,1.0,1.0,200.0,same,7,632404480,14
74,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.9705948,1.0,1.0,200.0,same,8,632404480,14
75,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.9700076,1.0,1.0,200.0,same,9,632404480,14
76,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.96930677,1.0,1.0,200.0,same,10,632404480,14
77,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.96697074,1.0,1.0,200.0,same,11,632404480,14
78,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.96494967,1.0,1.0,200.0,same,12,632404480,14
79,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.96417594,1.0,1.0,200.0,same,13,632404480,14
80,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.96161985,1.0,1.0,200.0,same,14,632404480,14
81,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.96026546,1.0,1.0,200.0,same,15,632404480,14
82,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.96010435,1.0,1.0,200.0,same,16,632404480,14
83,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.95879954,1.0,1.0,200.0,same,17,632404480,14
84,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.9538863,1.0,1.0,200.0,same,18,632404480,14
85,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.94597703,1.0,1.0,200.0,same,19,632404480,14
86,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.9388725,1.0,1.0,200.0,same,20,632404480,14
87,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.9316113,1.0,1.0,200.0,same,21,632404480,14
88,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.9219579,1.0,1.0,200.0,same,22,632404480,14
89,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.9030861,1.0,1.0,200.0,same,23,632404480,14
90,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.89937097,1.0,1.0,200.0,same,24,632404480,14
91,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.87948525,1.0,1.0,200.0,same,25,632404480,14
92,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.86779773,1.0,1.0,200.0,same,26,632404480,14
93,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.8706598,1.0,1.0,200.0,same,27,632404480,14
94,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.8714064,1.0,1.0,200.0,same,28,632404480,14
95,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.8717289,1.0,1.0,200.0,same,29,632404480,14
96,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.8734184,1.0,1.0,200.0,same,30,632404480,14
97,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.8882711,1.0,1.0,200.0,same,31,632404480,14
98,vit-huge-patch14,rectangles,stimulus_216.png,stimulus_1575.png,0.8871505,1.0,1.0,200.0,same,32,632404480,14
99,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,1.0000002,1.0,1.0,132.0,same,0,632404480,14
100,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.99544275,1.0,1.0,132.0,same,1,632404480,14
101,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.99400336,1.0,1.0,132.0,same,2,632404480,14
102,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.9921866,1.0,1.0,132.0,same,3,632404480,14
103,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.98922247,1.0,1.0,132.0,same,4,632404480,14
104,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.9892273,1.0,1.0,132.0,same,5,632404480,14
105,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.9884885,1.0,1.0,132.0,same,6,632404480,14
106,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.9864441,1.0,1.0,132.0,same,7,632404480,14
107,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.9847264,1.0,1.0,132.0,same,8,632404480,14
108,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.9842644,1.0,1.0,132.0,same,9,632404480,14
109,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.984629,1.0,1.0,132.0,same,10,632404480,14
110,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.98397225,1.0,1.0,132.0,same,11,632404480,14
111,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.98201025,1.0,1.0,132.0,same,12,632404480,14
112,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.98194104,1.0,1.0,132.0,same,13,632404480,14
113,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.9804576,1.0,1.0,132.0,same,14,632404480,14
114,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.9783017,1.0,1.0,132.0,same,15,632404480,14
115,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.97881836,1.0,1.0,132.0,same,16,632404480,14
116,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.9753478,1.0,1.0,132.0,same,17,632404480,14
117,vit-huge-patch14,rectangles,stimulus_323.png,stimulus_1048.png,0.9734503,1.0,1.0,132.0,same,18,632404480,14
