,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,1.0000001,7.0,7.0,868.0,same,0,306560000,32
1,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9998991,7.0,7.0,868.0,same,1,306560000,32
2,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.99879384,7.0,7.0,868.0,same,2,306560000,32
3,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9963675,7.0,7.0,868.0,same,3,306560000,32
4,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9934397,7.0,7.0,868.0,same,4,306560000,32
5,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9896671,7.0,7.0,868.0,same,5,306560000,32
6,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9855226,7.0,7.0,868.0,same,6,306560000,32
7,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.98148894,7.0,7.0,868.0,same,7,306560000,32
8,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.97412336,7.0,7.0,868.0,same,8,306560000,32
9,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.96979177,7.0,7.0,868.0,same,9,306560000,32
10,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9627533,7.0,7.0,868.0,same,10,306560000,32
11,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.95664626,7.0,7.0,868.0,same,11,306560000,32
12,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.95187503,7.0,7.0,868.0,same,12,306560000,32
13,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.94775236,7.0,7.0,868.0,same,13,306560000,32
14,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9481306,7.0,7.0,868.0,same,14,306560000,32
15,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.94689286,7.0,7.0,868.0,same,15,306560000,32
16,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9443027,7.0,7.0,868.0,same,16,306560000,32
17,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.93979466,7.0,7.0,868.0,same,17,306560000,32
18,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.93803537,7.0,7.0,868.0,same,18,306560000,32
19,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9356924,7.0,7.0,868.0,same,19,306560000,32
20,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9306592,7.0,7.0,868.0,same,20,306560000,32
21,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.92349935,7.0,7.0,868.0,same,21,306560000,32
22,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9258617,7.0,7.0,868.0,same,22,306560000,32
23,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.9218922,7.0,7.0,868.0,same,23,306560000,32
24,vit-large-patch32,dots,stimulus_550.png,stimulus_1681.png,0.8794508,7.0,7.0,868.0,same,24,306560000,32
25,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,1.0000001,7.0,7.0,868.0,same,0,306560000,32
26,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.9999229,7.0,7.0,868.0,same,1,306560000,32
27,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.9988449,7.0,7.0,868.0,same,2,306560000,32
28,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.99818724,7.0,7.0,868.0,same,3,306560000,32
29,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.99742824,7.0,7.0,868.0,same,4,306560000,32
30,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.9956311,7.0,7.0,868.0,same,5,306560000,32
31,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.99366903,7.0,7.0,868.0,same,6,306560000,32
32,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.99129236,7.0,7.0,868.0,same,7,306560000,32
33,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.98911977,7.0,7.0,868.0,same,8,306560000,32
34,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.9877853,7.0,7.0,868.0,same,9,306560000,32
35,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.9845336,7.0,7.0,868.0,same,10,306560000,32
36,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.98339987,7.0,7.0,868.0,same,11,306560000,32
37,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.9823329,7.0,7.0,868.0,same,12,306560000,32
38,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.98172194,7.0,7.0,868.0,same,13,306560000,32
39,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.9817467,7.0,7.0,868.0,same,14,306560000,32
40,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.9809781,7.0,7.0,868.0,same,15,306560000,32
41,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.97982144,7.0,7.0,868.0,same,16,306560000,32
42,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.97794235,7.0,7.0,868.0,same,17,306560000,32
43,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.9757836,7.0,7.0,868.0,same,18,306560000,32
44,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.974128,7.0,7.0,868.0,same,19,306560000,32
45,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.97128075,7.0,7.0,868.0,same,20,306560000,32
46,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.9673523,7.0,7.0,868.0,same,21,306560000,32
47,vit-large-patch32,dots,stimulus_902.png,stimulus_1542.png,0.9650459,7.0,7.0,868.0,same,22,306560000,32
