,model_name,image_type,image_1,image_2,cosine_similarity,numerosity_1,numerosity_2,area_diff,numerosity_comparison_type,layer,n_params,patch_size
0,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,1.0000001,1.0,1.0,132.0,same,0,306560000,32
1,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9996761,1.0,1.0,132.0,same,1,306560000,32
2,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9962186,1.0,1.0,132.0,same,2,306560000,32
3,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9946348,1.0,1.0,132.0,same,3,306560000,32
4,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9947181,1.0,1.0,132.0,same,4,306560000,32
5,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9933426,1.0,1.0,132.0,same,5,306560000,32
6,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9892299,1.0,1.0,132.0,same,6,306560000,32
7,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9862456,1.0,1.0,132.0,same,7,306560000,32
8,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.98219204,1.0,1.0,132.0,same,8,306560000,32
9,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.97974825,1.0,1.0,132.0,same,9,306560000,32
10,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9790629,1.0,1.0,132.0,same,10,306560000,32
11,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9733678,1.0,1.0,132.0,same,11,306560000,32
12,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.97204536,1.0,1.0,132.0,same,12,306560000,32
13,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.97106516,1.0,1.0,132.0,same,13,306560000,32
14,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.97068465,1.0,1.0,132.0,same,14,306560000,32
15,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.96652526,1.0,1.0,132.0,same,15,306560000,32
16,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.96685827,1.0,1.0,132.0,same,16,306560000,32
17,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.96462953,1.0,1.0,132.0,same,17,306560000,32
18,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9629789,1.0,1.0,132.0,same,18,306560000,32
19,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.96169853,1.0,1.0,132.0,same,19,306560000,32
20,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9623292,1.0,1.0,132.0,same,20,306560000,32
21,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.95966744,1.0,1.0,132.0,same,21,306560000,32
22,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9675702,1.0,1.0,132.0,same,22,306560000,32
23,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.96837217,1.0,1.0,132.0,same,23,306560000,32
24,vit-large-patch32,rectangles,stimulus_390.png,stimulus_1151.png,0.9320644,1.0,1.0,132.0,same,24,306560000,32
25,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,1.0000001,1.0,1.0,166.0,same,0,306560000,32
26,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.99939513,1.0,1.0,166.0,same,1,306560000,32
27,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9982418,1.0,1.0,166.0,same,2,306560000,32
28,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.99704605,1.0,1.0,166.0,same,3,306560000,32
29,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9965461,1.0,1.0,166.0,same,4,306560000,32
30,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9952903,1.0,1.0,166.0,same,5,306560000,32
31,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9925318,1.0,1.0,166.0,same,6,306560000,32
32,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.99018544,1.0,1.0,166.0,same,7,306560000,32
33,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.985764,1.0,1.0,166.0,same,8,306560000,32
34,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.98268306,1.0,1.0,166.0,same,9,306560000,32
35,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.98311925,1.0,1.0,166.0,same,10,306560000,32
36,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.98075926,1.0,1.0,166.0,same,11,306560000,32
37,vit-large-patch32,rectangles,stimulus_406.png,stimulus_1512.png,0.9809087,1.0,1.0,166.0,same,12,306560000,32
